log_time_ns,_full_text,_type,theta,x,y
1697563546691652659,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462847362429372,0.20950887519083505,-0.4828987584014569
1697563546696701406,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462757855695894,0.2095452306168757,-0.482893138979347
1697563546701650533,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462685906854032,0.2095787839748095,-0.4828879523089644
1697563546706635339,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462595654938194,0.20960974837248791,-0.4828831667455656
1697563546711750243,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462539774500722,0.2096383272661178,-0.4828787488755459
1697563546716525944,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546247190219019,0.2096647010297015,-0.48287467250610816
1697563546721876471,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462404735867047,0.20968904051431622,-0.48287091074154564
1697563546726600622,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462345642354375,0.20971150308584477,-0.48286743896897
1697563546731464123,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546229335064603,0.209732233367106,-0.4828642348652797
1697563546736700384,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.154622464786539,0.20975136483127288,-0.4828612778363818
1697563546741645974,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462182372629993,0.20976901899882924,-0.4828585499211418
1697563546746534212,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462170888971166,0.20978531514277196,-0.48285603009707223
1697563546751791781,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546212107941355,0.20980035116987486,-0.4828537065726573
1697563546756508707,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462098381841305,0.2098142291479334,-0.4828515611497362
1697563546761576188,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462067161732176,0.20982703575507572,-0.4828495817353618
1697563546766606201,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462020084690895,0.2098388529914023,-0.4828477559173005
1697563546771660787,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462000976512535,0.20984976050084717,-0.48284606976243455
1697563546776670286,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461995983625745,0.2098598275330732,-0.48284451307100473
1697563546781953447,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461951175899855,0.20986911477509848,-0.48284307844458896
1697563546786417573,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546193902609633,0.20987768781334518,-0.4828417530687302
1697563546791666382,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461882269649857,0.2098855958823316,-0.482840532176322
1697563546796576279,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461907018588306,0.20989289988865456,-0.48283940170000145
1697563546801602454,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461873831185993,0.20989963599668848,-0.48283836118559625
1697563546806581887,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546185602082314,0.20990585340951592,-0.4828374003216673
1697563546811732391,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461842598416162,0.20991159137302873,-0.48283651344359324
1697563546816608864,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546182771477732,0.2099168864425119,-0.48283569511347185
1697563546821752436,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461837855810526,0.20992177485198424,-0.4828349387514401
